H,model,n,N,alpha,delta_t,strategy,value_sum,value_markovian,value_full
0.13,fbm,500,500,1.0,1.0,both,,52.663257,197.427006
0.01,fbm,750,750,1.0,1.0,both,,484.420422,1092.543315
0.25,mixed_fbm,250,125,1.0,0.008,both,8.518285,3.118202,11.165343
0.41,mixed_fbm,250,125,0.2,0.008,both,0.002646,0.013002,0.061106
0.14,fbm,500,500,1.0,1.0,both,,46.170995,181.227891
0.42,mixed_fbm,250,125,0.2,0.008,both,0.001734,0.009293,0.043804
0.26,mixed_fbm,250,125,1.0,0.008,both,7.506762,2.725386,9.966353
0.43,mixed_fbm,250,125,0.2,0.008,both,0.001101,0.00644,0.030417
0.06,mixed_fbm,500,250,0.2,0.004,both,33.685972,25.484023,63.648831
0.44,mixed_fbm,250,125,0.2,0.008,both,0.000671,0.004287,0.020261
0.45,mixed_fbm,250,125,0.2,0.008,both,0.000386,0.002699,0.012754
0.27,mixed_fbm,250,125,1.0,0.008,both,6.580267,2.373759,8.858642
0.15,fbm,500,500,1.0,1.0,both,,40.472257,166.276556
0.46,mixed_fbm,250,125,0.2,0.008,both,0.000205,0.001567,0.007396
0.47,mixed_fbm,250,125,0.2,0.008,both,9.6e-05,0.000801,0.003769
0.48,mixed_fbm,250,125,0.2,0.008,both,3.5e-05,0.000323,0.001517
0.49,mixed_fbm,250,125,0.2,0.008,both,7e-06,7.4e-05,0.000344
0.5,mixed_fbm,250,125,0.2,0.008,both,0.0,0.0,0.0
0.51,mixed_fbm,250,125,0.2,0.008,both,5e-06,6.1e-05,0.000282
0.28,mixed_fbm,250,125,1.0,0.008,both,5.734809,2.059531,7.837782
0.52,mixed_fbm,250,125,0.2,0.008,both,1.7e-05,0.000223,0.001019
0.16,fbm,500,500,1.0,1.0,both,,35.468809,152.449403
0.53,mixed_fbm,250,125,0.2,0.008,both,3.2e-05,0.000458,0.002075
0.54,mixed_fbm,250,125,0.2,0.008,both,4.7e-05,0.000743,0.003336
0.55,mixed_fbm,250,125,0.2,0.008,both,6.1e-05,0.001063,0.004713
0.29,mixed_fbm,250,125,1.0,0.008,both,4.966516,1.779267,6.899591
0.56,mixed_fbm,250,125,0.2,0.008,both,7.4e-05,0.001401,0.006131
0.17,fbm,500,500,1.0,1.0,both,,31.075242,139.642959
0.57,mixed_fbm,250,125,0.2,0.008,both,8.4e-05,0.001748,0.007537
0.3,mixed_fbm,250,125,1.0,0.008,both,4.271592,1.529853,6.040087
0.58,mixed_fbm,250,125,0.2,0.008,both,9.2e-05,0.002094,0.008886
0.59,mixed_fbm,250,125,0.2,0.008,both,9.8e-05,0.002434,0.01025
0.18,fbm,500,500,1.0,1.0,both,,27.216853,127.769254
0.31,mixed_fbm,250,125,1.0,0.008,both,3.64629,1.308459,5.255458
0.6,mixed_fbm,250,125,0.2,0.008,both,0.000102,0.002761,0.011389
0.61,mixed_fbm,250,125,0.2,0.008,both,0.000104,0.003074,0.012526
0.32,mixed_fbm,250,125,1.0,0.008,both,3.086883,1.112515,4.542029
0.19,fbm,500,500,1.0,1.0,both,,23.828086,116.752455
0.62,mixed_fbm,250,125,0.2,0.008,both,0.000105,0.003368,0.013427
0.33,mixed_fbm,250,125,1.0,0.008,both,2.589637,0.939677,3.896232
0.63,mixed_fbm,250,125,0.2,0.008,both,0.000104,0.003644,0.014308
0.64,mixed_fbm,250,125,0.2,0.008,both,0.000103,0.003899,0.014959
0.34,mixed_fbm,250,125,1.0,0.008,both,2.150798,0.787808,3.31458
0.65,mixed_fbm,250,125,0.2,0.008,both,0.0001,0.004133,0.015404
0.2,fbm,500,500,1.0,1.0,both,,20.851336,106.52639
0.66,mixed_fbm,250,125,0.2,0.008,both,9.7e-05,0.004347,0.016025
0.35,mixed_fbm,250,125,1.0,0.008,both,1.766575,0.654954,2.793646
0.07,mixed_fbm,500,250,0.2,0.004,both,29.798177,22.003131,57.418714
0.67,mixed_fbm,250,125,0.2,0.008,both,9.4e-05,0.004541,0.016356
0.21,fbm,500,500,1.0,1.0,both,,18.235982,97.032692
0.36,mixed_fbm,250,125,1.0,0.008,both,1.433137,0.539322,2.330044
0.68,mixed_fbm,250,125,0.2,0.008,both,9e-05,0.004714,0.016578
0.69,mixed_fbm,250,125,0.2,0.008,both,8.6e-05,0.004869,0.016699
0.22,fbm,500,500,1.0,1.0,both,,15.937568,88.219387
0.37,mixed_fbm,250,125,1.0,0.008,both,1.146612,0.439268,1.920409
0.7,mixed_fbm,250,125,0.2,0.008,both,8.3e-05,0.005006,0.016727
0.38,mixed_fbm,250,125,1.0,0.008,both,0.9031,0.353276,1.56139
0.23,fbm,500,500,1.0,1.0,both,,13.917097,80.039811
0.71,mixed_fbm,250,125,0.2,0.008,both,7.9e-05,0.005126,0.016669
0.39,mixed_fbm,250,125,1.0,0.008,both,0.698689,0.279948,1.249639
0.72,mixed_fbm,250,125,0.2,0.008,both,7.5e-05,0.005229,0.016534
0.4,mixed_fbm,250,125,1.0,0.008,both,0.529479,0.217993,0.981806
0.73,mixed_fbm,250,125,0.2,0.008,both,7.1e-05,0.005318,0.016331
0.41,mixed_fbm,250,125,1.0,0.008,both,0.391618,0.166214,0.754547
0.24,fbm,500,500,1.0,1.0,both,,12.140398,72.451769
0.74,mixed_fbm,250,125,0.2,0.008,both,6.8e-05,0.005392,0.016067
0.42,mixed_fbm,250,125,1.0,0.008,both,0.28134,0.123503,0.564522
0.75,mixed_fbm,250,125,0.2,0.008,both,6.4e-05,0.005454,0.01575
0.43,mixed_fbm,250,125,1.0,0.008,both,0.195005,0.088833,0.408417
0.25,fbm,500,500,1.0,1.0,both,,10.577564,65.416875
0.76,mixed_fbm,250,125,0.2,0.008,both,6.1e-05,0.005504,0.015386
0.44,mixed_fbm,250,125,1.0,0.008,both,0.129141,0.061252,0.28295
0.77,mixed_fbm,250,125,0.2,0.008,both,5.8e-05,0.005542,0.014983
0.45,mixed_fbm,250,125,1.0,0.008,both,0.080489,0.039879,0.184897
0.26,fbm,500,500,1.0,1.0,both,,9.202443,58.900025
0.46,mixed_fbm,250,125,1.0,0.008,both,0.046036,0.023904,0.111115
0.78,mixed_fbm,250,125,0.2,0.008,both,5.5e-05,0.005571,0.014547
0.47,mixed_fbm,250,125,1.0,0.008,both,0.023046,0.012581,0.058566
0.48,mixed_fbm,250,125,1.0,0.008,both,0.009078,0.005227,0.024339
0.27,fbm,500,500,1.0,1.0,both,,7.992185,52.86898
0.49,mixed_fbm,250,125,1.0,0.008,both,0.002004,0.00122,0.005678
0.79,mixed_fbm,250,125,0.2,0.008,both,5.3e-05,0.00559,0.014084
0.5,mixed_fbm,250,125,1.0,0.008,both,-0.0,0.0,0.0
0.51,mixed_fbm,250,125,1.0,0.008,both,0.001545,0.001062,0.004915
0.8,mixed_fbm,250,125,0.2,0.008,both,5e-05,0.005601,0.013599
0.52,mixed_fbm,250,125,1.0,0.008,both,0.0054,0.003957,0.018239
0.08,mixed_fbm,500,250,0.2,0.004,both,26.249367,18.989777,51.734615
0.28,fbm,500,500,1.0,1.0,both,,6.926834,47.294019
0.53,mixed_fbm,250,125,1.0,0.008,both,0.010584,0.008288,0.038003
0.81,mixed_fbm,250,125,0.2,0.008,both,4.8e-05,0.005605,0.013097
0.54,mixed_fbm,250,125,1.0,0.008,both,0.016346,0.013711,0.062455
0.82,mixed_fbm,250,125,0.2,0.008,both,4.6e-05,0.005601,0.012582
0.55,mixed_fbm,250,125,1.0,0.008,both,0.022135,0.019924,0.090063
0.29,fbm,500,500,1.0,1.0,both,,5.988969,42.147662
0.83,mixed_fbm,250,125,0.2,0.008,both,4.4e-05,0.005592,0.012211
0.56,mixed_fbm,250,125,1.0,0.008,both,0.027566,0.026672,0.119504
0.84,mixed_fbm,250,125,0.2,0.008,both,4.2e-05,0.005576,0.01171
0.57,mixed_fbm,250,125,1.0,0.008,both,0.032391,0.033739,0.14966
0.3,fbm,500,500,1.0,1.0,both,,5.163383,37.404436
0.85,mixed_fbm,250,125,0.2,0.008,both,4e-05,0.005556,0.011209
0.58,mixed_fbm,250,125,1.0,0.008,both,0.036466,0.040943,0.179603
0.86,mixed_fbm,250,125,0.2,0.008,both,3.9e-05,0.005532,0.010712
0.59,mixed_fbm,250,125,1.0,0.008,both,0.039735,0.048136,0.208584
0.02,fbm,750,750,1.0,1.0,both,,379.151136,904.250925
0.6,mixed_fbm,250,125,1.0,0.008,both,0.042197,0.055201,0.236004
0.87,mixed_fbm,250,125,0.2,0.008,both,3.7e-05,0.005503,0.01022
0.31,fbm,500,500,1.0,1.0,both,,4.436803,33.040679
0.61,mixed_fbm,250,125,1.0,0.008,both,0.043894,0.062042,0.261415
0.88,mixed_fbm,250,125,0.2,0.008,both,3.6e-05,0.005471,0.009736
0.32,fbm,500,500,1.0,1.0,both,,3.79764,29.034376
0.62,mixed_fbm,250,125,1.0,0.008,both,0.044895,0.068587,0.284491
0.89,mixed_fbm,250,125,0.2,0.008,both,3.4e-05,0.005436,0.009261
0.01,fbm,1000,1000,1.0,1.0,both,,648.946513,1495.675382
0.33,fbm,500,500,1.0,1.0,both,,3.235772,25.365013
0.63,mixed_fbm,250,125,1.0,0.008,both,0.045283,0.074784,0.305015
0.9,mixed_fbm,250,125,0.2,0.008,both,3.3e-05,0.005398,0.008797
0.64,mixed_fbm,250,125,1.0,0.008,both,0.045149,0.080595,0.322862
0.34,fbm,500,500,1.0,1.0,both,,2.74236,22.013456
0.91,mixed_fbm,250,125,0.2,0.008,both,3.2e-05,0.005358,0.008345
0.35,fbm,500,500,1.0,1.0,both,,2.309676,18.961838
0.65,mixed_fbm,250,125,1.0,0.008,both,0.044582,0.085996,0.337983
0.92,mixed_fbm,250,125,0.2,0.008,both,3.1e-05,0.005316,0.007906
0.36,fbm,500,500,1.0,1.0,both,,1.930964,16.193465
0.66,mixed_fbm,250,125,1.0,0.008,both,0.043667,0.090976,0.350395
0.93,mixed_fbm,250,125,0.2,0.008,both,3e-05,0.005272,0.00748
0.67,mixed_fbm,250,125,1.0,0.008,both,0.042484,0.095529,0.360161
0.37,fbm,500,500,1.0,1.0,both,,1.600316,13.69273
0.94,mixed_fbm,250,125,0.2,0.008,both,2.9e-05,0.005227,0.007069
0.68,mixed_fbm,250,125,1.0,0.008,both,0.041101,0.099661,0.367388
0.38,fbm,500,500,1.0,1.0,both,,1.312557,11.445031
0.95,mixed_fbm,250,125,0.2,0.008,both,2.8e-05,0.00518,0.006673
0.69,mixed_fbm,250,125,1.0,0.008,both,0.03958,0.103379,0.37221
0.39,fbm,500,500,1.0,1.0,both,,1.06316,9.436702
0.96,mixed_fbm,250,125,0.2,0.008,both,2.7e-05,0.005133,0.006292
0.7,mixed_fbm,250,125,1.0,0.008,both,0.037972,0.106698,0.374784
0.97,mixed_fbm,250,125,0.2,0.008,both,2.7e-05,0.005084,0.005926
