H,model,n,N,alpha,delta_t,strategy,value_sum,value_markovian,value_full
0.19,fbm,1250,1250,1.0,1.0,both,,,304.191064
0.46,fbm,500,500,1.0,1.0,both,,,1.101681
0.82,fbm,250,250,1.0,1.0,both,,,22.088668
0.83,fbm,250,250,1.0,1.0,both,,,23.260549
0.13,fbm,1500,1500,1.0,1.0,both,,,631.308782
0.84,fbm,250,250,1.0,1.0,both,,,24.453096
0.25,fbm,1000,1000,1.0,1.0,both,,,133.928506
0.35,fbm,750,750,1.0,1.0,both,,,28.661376
0.85,fbm,250,250,1.0,1.0,both,,,25.666005
0.47,fbm,500,500,1.0,1.0,both,,,0.609418
0.86,fbm,250,250,1.0,1.0,both,,,26.899043
0.03,mixed_fbm,250,125,0.2,0.008,both,14.966257,15.94907,
0.87,fbm,250,250,1.0,1.0,both,,,28.152057
0.2,fbm,1250,1250,1.0,1.0,both,,,276.952467
0.88,fbm,250,250,1.0,1.0,both,,,29.424994
0.36,fbm,750,750,1.0,1.0,both,,,24.463826
0.89,fbm,250,250,1.0,1.0,both,,,30.717927
0.26,fbm,1000,1000,1.0,1.0,both,,,120.420044
0.9,fbm,250,250,1.0,1.0,both,,,32.031095
0.48,fbm,500,500,1.0,1.0,both,,,0.266428
0.37,fbm,750,750,1.0,1.0,both,,,20.675432
0.91,fbm,250,250,1.0,1.0,both,,,33.364965
0.01,mixed_fbm,250,125,5.0,0.008,both,131.270763,71.460754,
0.14,fbm,1500,1500,1.0,1.0,both,,,577.93195
0.38,fbm,750,750,1.0,1.0,both,,,17.273208
0.92,fbm,250,250,1.0,1.0,both,,,34.720331
0.21,fbm,1250,1250,1.0,1.0,both,,,251.742518
0.49,fbm,500,500,1.0,1.0,both,,,0.065535
0.93,fbm,250,250,1.0,1.0,both,,,36.098479
0.27,fbm,1000,1000,1.0,1.0,both,,,107.94628
0.5,fbm,500,500,1.0,1.0,both,,,0.0
0.39,fbm,750,750,1.0,1.0,both,,,14.235702
0.28,fbm,1000,1000,1.0,1.0,both,,,96.440639
0.51,fbm,500,500,1.0,1.0,both,,,0.063489
0.22,fbm,1250,1250,1.0,1.0,both,,,228.411601
0.03,mixed_fbm,250,125,1.0,0.008,both,67.532378,40.359401,
0.4,fbm,750,750,1.0,1.0,both,,,11.542881
0.52,fbm,500,500,1.0,1.0,both,,,0.250051
0.29,fbm,1000,1000,1.0,1.0,both,,,85.841681
0.53,fbm,500,500,1.0,1.0,both,,,0.554085
0.41,fbm,750,750,1.0,1.0,both,,,9.176034
0.23,fbm,1250,1250,1.0,1.0,both,,,206.82493
0.54,fbm,500,500,1.0,1.0,both,,,0.970327
0.15,fbm,1500,1500,1.0,1.0,both,,,528.811713
0.3,fbm,1000,1000,1.0,1.0,both,,,76.092595
0.55,fbm,500,500,1.0,1.0,both,,,1.49382
0.42,fbm,750,750,1.0,1.0,both,,,7.117676
0.56,fbm,500,500,1.0,1.0,both,,,2.119895
0.31,fbm,1000,1000,1.0,1.0,both,,,67.140764
0.43,fbm,750,750,1.0,1.0,both,,,5.351461
0.57,fbm,500,500,1.0,1.0,both,,,2.844156
0.24,fbm,1250,1250,1.0,1.0,both,,,186.860349
0.44,fbm,750,750,1.0,1.0,both,,,3.862105
0.58,fbm,500,500,1.0,1.0,both,,,3.662458
0.32,fbm,1000,1000,1.0,1.0,both,,,58.937398
0.45,fbm,750,750,1.0,1.0,both,,,2.635309
0.59,fbm,500,500,1.0,1.0,both,,,4.570895
0.16,fbm,1500,1500,1.0,1.0,both,,,483.527975
0.25,fbm,1250,1250,1.0,1.0,both,,,168.406592
0.6,fbm,500,500,1.0,1.0,both,,,5.56578
0.33,fbm,1000,1000,1.0,1.0,both,,,51.437204
0.46,fbm,750,750,1.0,1.0,both,,,1.657691
0.61,fbm,500,500,1.0,1.0,both,,,6.643634
0.26,fbm,1250,1250,1.0,1.0,both,,,151.361899
0.47,fbm,750,750,1.0,1.0,both,,,0.916722
0.62,fbm,500,500,1.0,1.0,both,,,7.801171
0.34,fbm,1000,1000,1.0,1.0,both,,,44.598102
0.48,fbm,750,750,1.0,1.0,both,,,0.400667
0.17,fbm,1500,1500,1.0,1.0,both,,,441.726352
0.63,fbm,500,500,1.0,1.0,both,,,9.035286
0.27,fbm,1250,1250,1.0,1.0,both,,,135.63289
0.04,mixed_fbm,250,125,0.2,0.008,both,13.297424,13.913456,
0.64,fbm,500,500,1.0,1.0,both,,,10.343047
0.35,fbm,1000,1000,1.0,1.0,both,,,38.380969
0.49,fbm,750,750,1.0,1.0,both,,,0.09853
0.5,fbm,750,750,1.0,1.0,both,,,0.0
0.65,fbm,500,500,1.0,1.0,both,,,11.721679
0.02,mixed_fbm,250,125,10.0,0.008,both,117.993991,60.378966,
0.18,fbm,1500,1500,1.0,1.0,both,,,403.103173
0.66,fbm,500,500,1.0,1.0,both,,,13.168558
0.51,fbm,750,750,1.0,1.0,both,,,0.095408
0.36,fbm,1000,1000,1.0,1.0,both,,,32.749405
0.28,fbm,1250,1250,1.0,1.0,both,,,121.133643
0.67,fbm,500,500,1.0,1.0,both,,,14.681199
0.52,fbm,750,750,1.0,1.0,both,,,0.37568
0.37,fbm,1000,1000,1.0,1.0,both,,,27.66953
0.53,fbm,750,750,1.0,1.0,both,,,0.832295
0.68,fbm,500,500,1.0,1.0,both,,,16.257251
0.29,fbm,1250,1250,1.0,1.0,both,,,107.784925
0.69,fbm,500,500,1.0,1.0,both,,,17.894487
0.38,fbm,1000,1000,1.0,1.0,both,,,23.109793
0.19,fbm,1500,1500,1.0,1.0,both,,,367.394675
0.7,fbm,500,500,1.0,1.0,both,,,19.590797
0.71,fbm,500,500,1.0,1.0,both,,,21.344181
0.02,mixed_fbm,500,250,0.2,0.004,both,53.15477,46.369418,
0.3,fbm,1250,1250,1.0,1.0,both,,,95.513539
0.39,fbm,1000,1000,1.0,1.0,both,,,19.040796
0.72,fbm,500,500,1.0,1.0,both,,,23.152746
0.73,fbm,500,500,1.0,1.0,both,,,25.014694
0.54,fbm,750,750,1.0,1.0,both,,,1.457248
0.2,fbm,1500,1500,1.0,1.0,both,,,334.369065
0.74,fbm,500,500,1.0,1.0,both,,,26.928325
0.31,fbm,1250,1250,1.0,1.0,both,,,84.251766
0.01,mixed_fbm,500,250,5.0,0.004,both,298.505143,151.341589,
0.01,mixed_fbm,500,250,1.0,0.004,both,195.805325,115.651706,
0.4,fbm,1000,1000,1.0,1.0,both,,,15.435141
0.55,fbm,750,750,1.0,1.0,both,,,2.243017
0.04,mixed_fbm,250,125,1.0,0.008,both,61.963888,35.740779,
0.75,fbm,500,500,1.0,1.0,both,,,28.892025
0.76,fbm,500,500,1.0,1.0,both,,,30.904269
0.56,fbm,750,750,1.0,1.0,both,,,3.182525
0.02,mixed_fbm,250,125,5.0,0.008,both,113.903175,59.533265,
0.41,fbm,1000,1000,1.0,1.0,both,,,12.267276
0.77,fbm,500,500,1.0,1.0,both,,,32.963612
0.21,fbm,1500,1500,1.0,1.0,both,,,303.820622
0.32,fbm,1250,1250,1.0,1.0,both,,,73.936883
0.78,fbm,500,500,1.0,1.0,both,,,35.068687
0.42,fbm,1000,1000,1.0,1.0,both,,,9.513369
0.79,fbm,500,500,1.0,1.0,both,,,37.218207
0.33,fbm,1250,1250,1.0,1.0,both,,,64.510738
0.8,fbm,500,500,1.0,1.0,both,,,39.410956
0.57,fbm,750,750,1.0,1.0,both,,,4.269115
0.43,fbm,1000,1000,1.0,1.0,both,,,7.151175
0.01,mixed_fbm,500,250,10.0,0.004,both,312.487856,153.90147,
0.22,fbm,1500,1500,1.0,1.0,both,,,275.565227
0.81,fbm,500,500,1.0,1.0,both,,,41.645796
0.58,fbm,750,750,1.0,1.0,both,,,5.496517
0.44,fbm,1000,1000,1.0,1.0,both,,,5.159927
0.82,fbm,500,500,1.0,1.0,both,,,43.921661
0.34,fbm,1250,1250,1.0,1.0,both,,,55.919372
0.59,fbm,750,750,1.0,1.0,both,,,6.858825
0.83,fbm,500,500,1.0,1.0,both,,,46.237563
0.05,mixed_fbm,250,125,0.2,0.008,both,11.772182,12.139729,
0.45,fbm,1000,1000,1.0,1.0,both,,,3.520227
0.84,fbm,500,500,1.0,1.0,both,,,48.592589
0.6,fbm,750,750,1.0,1.0,both,,,8.350472
0.23,fbm,1500,1500,1.0,1.0,both,,,249.43694
0.35,fbm,1250,1250,1.0,1.0,both,,,48.112686
0.85,fbm,500,500,1.0,1.0,both,,,50.985912
0.61,fbm,750,750,1.0,1.0,both,,,9.966207
0.46,fbm,1000,1000,1.0,1.0,both,,,2.213947
0.62,fbm,750,750,1.0,1.0,both,,,11.701074
